analyst_id,series,cntry,year,unemp
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2005,8.029999733
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2006,5.909999847
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2007,4.590000153
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2008,5.449999809
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2009,13.55000019
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2010,16.70999908
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2011,12.32999992
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2012,10.02000046
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2013,8.630000114
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2004,11.09000015
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2005,9.149999619
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2006,8.449999809
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2007,8.229999542
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2008,11.25
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2009,17.86000061
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2010,19.86000061
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2011,21.38999939
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2012,24.79000092
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,ES,2013,26.09000015
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2004,10.35999966
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2005,8.380000114
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2006,7.71999979
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2007,6.849999905
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2008,6.3699998859999996
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2009,8.25
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2010,8.390000343
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2011,7.78000021
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2012,7.690000057
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FI,2013,8.18999958
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,FR,2004,8.909999847
